## Audio-driven

| Year | Title                                                        | Conference/Journal                                           | Code                                                         | Project                                                      | Keywords                                                     |
| 2025 | [Decoding Fake Narratives in Spreading Hateful Stories: A Dual-Head RoBERTa Model with Multi-Task Learning](https://arxiv.org/abs/2512.16147v1) | Accepted Paper, Anthology ID: 2024.icon-fauxhate.3, 4 pages, 1 figure, 1 table |  |  | Talking Head |
| 2025 | [Evaluation of Generative Models for Emotional 3D Animation Generation in VR](https://arxiv.org/abs/2512.16081v1) | 20 pages, 5 figures. Webpage: https://emotional3dhumans.github.io/ |  | [Project](https://emotional3dhumans.github.io/) | 3D, Emotional |
| 2025 | [Adaptive Edge-Cloud Inference for Speech-to-Action Systems Using ASR and Large Language Models](https://arxiv.org/abs/2512.12769v2) | preprint, 6 pages, 7 figures, 1 table |  |  | Speech-Driven |
| 2025 | [Live Avatar: Streaming Real-time Audio-Driven Avatar Generation with Infinite Length](https://arxiv.org/abs/2512.04677v3) | ArXiv 2025 |  |  | Real-time, Streaming, Audio-Driven, Avatar |
| 2025 | [FlexAvatar: Learning Complete 3D Head Avatars with Partial Supervision](https://arxiv.org/abs/2512.15599v1) | Project website: https://tobias-kirschstein.github.io/flexavatar/ , Video: https://youtu.be/g8wxqYBlRGY |  | [Project](https://tobias-kirschstein.github.io/flexavatar/) | 3D, Avatar, Transformer, Few-Shot, Latent |
| 2025 | [DeX-Portrait: Disentangled and Expressive Portrait Animation via Explicit and Latent Motion Representations](https://arxiv.org/abs/2512.15524v1) | Projectpage: https://syx132.github.io/DeX-Portrait/ |  | [Project](https://syx132.github.io/DeX-Portrait/) | Portrait Animation, Attention, Latent |
| 2025 | [FacEDiT: Unified Talking Face Editing and Generation via Facial Motion Infilling](https://arxiv.org/abs/2512.14056v1) | Project page: https://facedit.github.io/ |  | [Project](https://facedit.github.io/) | Talking Head, Transformer, Attention, Flow Matching |
| 2025 | [TalkVerse: Democratizing Minute-Long Audio-Driven Video Generation](https://arxiv.org/abs/2512.14938v1) | open-sourced single-person full-body talking video generation dataset, training code and checkpoints |  | [Project](https://zhenzhiwang.github.io/talkverse/) | Audio-Driven, VAE, Latent |
| 2025 | [STARCaster: Spatio-Temporal AutoRegressive Video Diffusion for Identity- and View-Aware Talking Portraits](https://arxiv.org/abs/2512.13247v1) | Project page: https://foivospar.github.io/STARCaster/ |  | [Project](https://foivospar.github.io/STARCaster/) | Diffusion, Portrait Animation, Talking Head |
| 2025 | [JoVA: Unified Multimodal Learning for Joint Video-Audio Generation](https://arxiv.org/abs/2512.13677v1) | Project page: \url{https://visual-ai.github.io/jova} |  | [Project](https://visual-ai.github.io/jova) | Audio-Driven, Transformer, Attention, GAN |
| 2025 | [InteracTalker: Prompt-Based Human-Object Interaction with Co-Speech Gesture Generation](https://arxiv.org/abs/2512.12664v1) | ArXiv 2025 |  |  | Speech-Driven |
| 2025 | [FactorPortrait: Controllable Portrait Animation via Disentangled Expression, Pose, and Viewpoint](https://arxiv.org/abs/2512.11645v1) | Project page: https://tangjiapeng.github.io/FactorPortrait/ |  | [Project](https://tangjiapeng.github.io/FactorPortrait/) | Portrait Animation, Transformer, Latent |
| 2025 | [PersonaLive! Expressive Portrait Image Animation for Live Streaming](https://arxiv.org/abs/2512.11253v1) | ArXiv 2025 |  |  | Streaming, Portrait Animation |
| 2025 | [KeyframeFace: From Text to Expressive Facial Keyframes](https://arxiv.org/abs/2512.11321v1) | ArXiv 2025 | [Code](https://github.com/wjc12345123/KeyframeFace) | [Project](https://github.com/wjc12345123/KeyframeFace) | Talking Head |
| 2025 | [UniLS: End-to-End Audio-Driven Avatars for Unified Listening and Speaking](https://arxiv.org/abs/2512.09327v1) | ArXiv 2025 |  |  | Audio-Driven, Avatar |
| 2025 | [EmojiDiff: Advanced Facial Expression Control with High Identity Preservation in Portrait Generation](https://arxiv.org/abs/2412.01254v3) | accepted by WACV 2026 |  |  | Portrait Animation, WACV |
| 2025 | [GLDiTalker: Speech-Driven 3D Facial Animation with Graph Latent Diffusion Transformer](https://arxiv.org/abs/2408.01826v5) | 9 pages, 5 figures |  |  | 3D, Diffusion, Speech-Driven, Transformer, Latent |
| 2025 | [YingVideo-MV: Music-Driven Multi-Stage Video Generation](https://arxiv.org/abs/2512.02492v1) | 18 pages, 6 figures |  | [Project](https://giantailab.github.io/YingVideo-MV/) | Transformer, Latent |
| 2025 | [Proactive Agentic Whiteboards: Enhancing Diagrammatic Learning](https://arxiv.org/abs/2512.01234v2) | ArXiv 2025 |  |  | Talking Head |
| 2025 | [EvalTalker: Learning to Evaluate Real-Portrait-Driven Multi-Subject Talking Humans](https://arxiv.org/abs/2512.01340v1) | ArXiv 2025 |  |  | Portrait Animation, Talking Head |
| 2025 | [Hallo4: High-Fidelity Dynamic Portrait Animation via Direct Preference Optimization](https://arxiv.org/abs/2505.23525v4) | ArXiv 2025 | [Code](https://github.com/fudan-generative-vision/hallo4) | [Project](https://github.com/fudan-generative-vision/hallo4) | Portrait Animation, Latent |
| 2025 | [AnyTalker: Scaling Multi-Person Talking Video Generation with Interactivity Refinement](https://arxiv.org/abs/2511.23475v1) | Homepage: https://hkust-c4g.github.io/AnyTalker-homepage |  | [Project](https://hkust-c4g.github.io/AnyTalker-homepage) | Talking Head, Transformer, Attention |
| 2025 | [Harmony: Harmonizing Audio and Video Generation through Cross-Task Synergy](https://arxiv.org/abs/2511.21579v2) | ArXiv 2025 |  |  | Audio-Driven, Attention, Latent |
| 2025 | [AI killed the video star. Audio-driven diffusion model for expressive talking head generation](https://arxiv.org/abs/2511.22488v1) | arXiv admin note: text overlap with arXiv:2502.17198 |  |  | Diffusion, Audio-Driven, Talking Head, Transformer |
| 2025 | [IMTalker: Efficient Audio-driven Talking Face Generation with Implicit Motion Transfer](https://arxiv.org/abs/2511.22167v1) | 11 pages, 5 figures |  |  | Audio-Driven, Talking Head, Attention, Latent |
| 2025 | [Passive Dementia Screening via Facial Temporal Micro-Dynamics Analysis of In-the-Wild Talking-Head Video](https://arxiv.org/abs/2511.13802v2) | ArXiv 2025 |  |  | Talking Head |
| 2025 | [Warm Chat: Diffuse Emotion-aware Interactive Talking Head Avatar with Tree-Structured Guidance](https://arxiv.org/abs/2508.18337v3) | The submission is withdrawn at the request of the authors due to internal reasons within the research team |  |  | Emotional, Avatar, Talking Head, Transformer, Latent |
| 2025 | [A superpersuasive autonomous policy debating system](https://arxiv.org/abs/2511.17854v1) | Accepted to CLIP workshop at AAAI 2026 | [Code](https://github.com/Hellisotherpeople/DeepDebater) | [Project](https://github.com/Hellisotherpeople/DeepDebater) | AAAI |
| 2025 | [StreamingTalker: Audio-driven 3D Facial Animation with Autoregressive Diffusion Model](https://arxiv.org/abs/2511.14223v2) | ArXiv 2025 |  | [Project](https://zju3dv.github.io/StreamingTalker/) | 3D, Diffusion, Streaming, Audio-Driven |
| 2025 | [Towards Authentic Movie Dubbing with Retrieve-Augmented Director-Actor Interaction Learning](https://arxiv.org/abs/2511.14249v1) | Accepted by AAAI 2026 | [Code](https://github.com/AI-S2-Lab/Authentic-Dubber) | [Project](https://github.com/AI-S2-Lab/Authentic-Dubber) | AAAI |
| 2025 | [Towards Reliable Human Evaluations in Gesture Generation: Insights from a Community-Driven State-of-the-Art Benchmark](https://arxiv.org/abs/2511.01233v2) | 23 pages, 10 figures. The last two authors made equal contributions |  |  | Talking Head |
| 2025 | [Playmate2: Training-Free Multi-Character Audio-Driven Animation via Diffusion Transformer with Reward Feedback](https://arxiv.org/abs/2510.12089v2) | AAAI 2026 |  |  | Diffusion, Audio-Driven, AAAI, Transformer |
| 2025 | [DenseAnnotate: Enabling Scalable Dense Caption Collection for Images and 3D Scenes via Spoken Descriptions](https://arxiv.org/abs/2511.12452v1) | ArXiv 2025 |  |  | 3D, Attention |
| 2025 | [READ: Real-time and Efficient Asynchronous Diffusion for Audio-driven Talking Head Generation](https://arxiv.org/abs/2508.03457v3) | Project page: https://readportrait.github.io/READ/ |  | [Project](https://readportrait.github.io/READ/) | Diffusion, Real-time, Audio-Driven, Talking Head, Transformer, VAE |
| 2025 | [GRACE: Designing Generative Face Video Codec via Agile Hardware-Centric Workflow](https://arxiv.org/abs/2511.09272v1) | ArXiv 2025 |  |  | Talking Head |
| 2025 | [Improving Generalization in Deepfake Detection with Face Foundation Models and Metric Learning](https://arxiv.org/abs/2508.19730v2) | The authors did not manage to secure approval by the funder of this research on time |  |  | Talking Head |
| 2025 | [Shared Latent Representation for Joint Text-to-Audio-Visual Synthesis](https://arxiv.org/abs/2511.05432v1) | ArXiv 2025 |  |  | Audio-Driven, Latent |
| 2025 | [THEval. Evaluation Framework for Talking Head Video Generation](https://arxiv.org/abs/2511.04520v2) | ArXiv 2025 |  |  | Talking Head |
| 2025 | [UniAVGen: Unified Audio and Video Generation with Asymmetric Cross-Modal Interactions](https://arxiv.org/abs/2511.03334v1) | ArXiv 2025 |  |  | Audio-Driven, Transformer, Attention, Latent |
| 2025 | [Densemarks: Learning Canonical Embeddings for Human Heads Images via Point Tracks](https://arxiv.org/abs/2511.02830v1) | Project page: https://diddone.github.io/densemarks/ .Video: https://youtu.be/o8DOOYFW0gI .21 pages, 13 figures, 2 tables |  | [Project](https://diddone.github.io/densemarks/) | Transformer, Latent |
| 2025 | [Audio Driven Real-Time Facial Animation for Social Telepresence](https://arxiv.org/abs/2510.01176v2) | SIGGRAPH Asia 2025. Project page: https://jiyewise.github.io/projects/AudioRTA |  | [Project](https://jiyewise.github.io/projects/AudioRTA) | Real-time, Audio-Driven, SIGGRAPH, Transformer, Latent |
| 2025 | [MAGIC-Talk] [MAGIC-Talk: Motion-aware Audio-Driven Talking Face Generation with Customizable Identity Control](https://arxiv.org/abs/2510.22810) | Arxiv 2025                                                   |                                                              |                                                              |                                                              |
| 2025 | [DGTalker] [DGTalker:Disentangled Generative Latent Space Learning for Audio-Driven Gaussian Talking Heads](https://openaccess.thecvf.com/content/ICCV2025/papers/Liang_DGTalker_Disentangled_Generative_Latent_Space_Learning_for_Audio-Driven_Gaussian_Talking_ICCV_2025_paper.pdf) | ICCV 2025                                                    |                                                              | [Project](https://shawks0419.github.io/dgtalker/)            | Gaussian, Latent Space                                       |
| 2025 | [Talking Head Generation via Viewpoint and Lighting Simulation Based on Global Representation](https://dl.acm.org/doi/pdf/10.1145/3746027.3755503) | ACM MM 2025                                                  |                                                              |                                                              | Depth-based                                                  |
| 2025 | [PESTalk] [PESTalk: Speech-Driven 3D Facial Animation with Personalized Emotional Styles](https://dl.acm.org/doi/abs/10.1145/3746027.3755190) | ACM MM 2025                                                  |                                                              |                                                              | FLAME                                                        |
| 2025 | [GOES] [GOES: 3D Gaussian-based One-shot Head Animation with Any Emotion and Any Style](https://dl.acm.org/doi/abs/10.1145/3746027.3755001) | ACM MM 2025                                                  |                                                              |                                                              | One-Shot, 3DGS                                               |
| 2025 | [See the Speaker] [See the Speaker: Crafting High-Resolution Talking Faces from Speech with Prior Guidance and Region Refinement](http://arxiv.org/abs/2510.26819v1) | TASLP 2025                                                   |                                                              |                                                              | High-Resolution, Talking Faces, Speech-to-Face, Diffusion    |
| 2025 | [LSF-Animation] [LSF-Animation: Label-Free Speech-Driven Facial Animation via Implicit Feature Representation](http://arxiv.org/abs/2510.21864v1) | SIGGRAPH ASIA 2025                                           | [Code](https://github.com/Dogter521/LSF-Animation)           |                                                              | Label-Free, Speech-Driven, Facial Animation, FLAME           |
| 2025 | [MOSPA] [MOSPA: Human Motion Generation Driven by Spatial Audio](http://arxiv.org/abs/2507.11949v2) | NeurIPS 2025 (Spotlight)                                     | [Code](https://github.com/xsy27/Mospa-Acoustic-driven-Motion-Generation) |                                                              | Spatial Audio, Human Motion Generation, Virtual Human        |
| 2025 | [Unmasking Puppeteers] [Unmasking Puppeteers: Leveraging Biometric Leakage to Disarm Impersonation in AI-based Videoconferencing](http://arxiv.org/abs/2510.03548v2) | Arxiv 2025                                                   |                                                              |                                                              | Biometric Leakage, AI Videoconferencing, Security            |
| 2025 | [Lookahead Anchoring] [Lookahead Anchoring: Preserving Character Identity in Audio-Driven Human Animation](http://arxiv.org/abs/2510.23581v1) | Arxiv 2025                                                   |                                                              | [Project](https://lookahead-anchoring.github.io)             | Character Identity, Audio-Driven, Human Animation, Temporal Consistency |
| 2025 | [MAGIC-Talk] [MAGIC-Talk: Motion-aware Audio-Driven Talking Face Generation with Customizable Identity Control](http://arxiv.org/abs/2510.22810v1) | Arxiv 2025                                                   |                                                              |                                                              | Motion-aware, Audio-Driven, Talking Face, Identity Control   |
| 2025 | [Playmate2] [Playmate2: Training-Free Multi-Character Audio-Driven Animation via Diffusion Transformer with Reward Feedback](http://arxiv.org/abs/2510.12089v1) | Arxiv 2025                                                   |                                                              |                                                              | Multi-Character, Audio-Driven, Diffusion Transformer, Reward Feedback |
| 2025 | [DEMO] [DEMO: Disentangled Motion Latent Flow Matching for Fine-Grained Controllable Talking Portrait Synthesis](http://arxiv.org/abs/2510.10650v1) | Arxiv 2025                                                   |                                                              |                                                              | Disentangled Motion, Flow Matching, Talking Portrait, Controllable |
| 2025 | [SyncLipMAE] [SyncLipMAE: Contrastive Masked Pretraining for Audio-Visual Talking-Face Representation](http://arxiv.org/abs/2510.10069v1) | Arxiv 2025                                                   |                                                              |                                                              | Contrastive Masked Pretraining, Audio-Visual, Talking-Face   |
